,Contributor,Taxon,UniqueID,AphiaID,Relative.Adult.Mobility,Relative.Adult.Mobility.Certainty,Relative.Adult.Mobility.Reference,Estimated.Max.Body.Size,Estimated.Max.Body.Size.Certainty,Estimated.Max.Body.Size.Reference,Gregariousness,Gregariousness.Certainty,Gregariousness.Reference,Foundation.Species,Foundation.Species.Certainty,Foundation.Species.Reference,Habitat.Complexity,Habitat.Complexity.Certainty,Habitat.Complexity.Reference,Abundance,Abundance.Certainty,Abundance.Reference,Chemosynthesis.Obligate,Chemosynthesis.Obligate.Certainty,Chemosynthesis.Obligate.Reference,Position.of.Symbiont,Position.of.Symbiont.Certainty,Position.of.Symbiont.Reference,Min.Depth.Range.Lower.Bound,Min.Depth.Range.Upper.Bound,Max.Depth.Range.Lower.Bound,Max.Depth.Range.Upper.Bound,Depth.Range.Certainty,Depth.Range.Reference,Substratum,Substratum.Certainty,Substratum.Reference,Zonation.From.Vent,Zonation.From.Vent.Certainty,Zonation.From.Vent.Reference,Nutritional.Source,Nutritional.Source.Certainty,Nutritional.Source.Reference,Trophic.Mode,Trophic.Mode.Certainty,Trophic.Mode.Reference,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies
11,tresa2812@gmail.com; bates.amanda@gmail.com,Actinostola callosa,Act11,100839,2,2,66,100,3,129,Sometimes,1,66,No,2,66,NA,NA,NA,Low,1,66,No,2,66,None,2,66,0,500,2500,3000,2,129,Hard,2,66,Low,3,129,Water column,2,-9998,Carnivore O,2,129,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,Actinostola,,callosa,
12,jtc@soton.ac.uk; William.Reid@newcastle.ac.uk; kl@bas.ac.uk; asac1g09@soton.ac.uk,Actinostolid sp. ESR1,Act12,100655,1,3,NA,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,66,Hard,NA,66,Medium,3,NA,Fauna,2,-9998,Carnivore O,3,NA,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,
13,jtc@soton.ac.uk; kl@bas.ac.uk; asac1g09@soton.ac.uk,Actinostolid sp. ESR2,Act13,100655,1,3,NA,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,66,Hard,NA,66,Medium,3,NA,Fauna,2,-9998,Carnivore O,3,NA,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,
14,jtc@soton.ac.uk; kl@bas.ac.uk; asac1g09@soton.ac.uk,Actinostolid sp. ESR3,Act14,100655,1,3,NA,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,66,Hard,NA,66,Medium,3,NA,Fauna,2,-9998,Carnivore O,3,NA,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,
15,jtc@soton.ac.uk; kl@bas.ac.uk; asac1g09@soton.ac.uk,Actinostolid sp. ESR4,Act15,100655,1,3,NA,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,NA,Vent,3,NA,NA,NA,NA,2000,2500,2500,3000,NA,66,Hard,NA,66,Medium,3,NA,Fauna,2,-9998,Carnivore O,3,NA,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,
16,jtc@soton.ac.uk; asac1g09@soton.ac.uk,Actinostolid sp. SWIR,Act16,100655,1,3,102,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,3,102,Vent,NA,-9999,NA,NA,NA,2500,3000,2500,3000,3,102; -9999,NA,NA,NA,Low,3,102,Sediment or rock surface,3,-9998,Carnivore O,3,102,Cnidaria,Anthozoa,Actiniaria,Actinostolidae,,,,
17,cchen@jamstec.go.jp; elenamkr@mail.ru; asac1g09@soton.ac.uk,Akebiconcha kawamurai,Ake17,464361,3,3,66,1000,3,66,Always,2,NA,Yes,2,NA,Bed forming,2,NA,High,3,66,Other CBE,3,66,Endosymbiont,3,NA,0,500,1500,2000,3,66,Soft,3,NA,Low,3,NA,Symbiont,3,NA,Bacterivore,3,NA,Mollusca,Bivalvia,Venerida,Vesicomyidae,Akebiconcha,,kawamurai,
18,ahilario@ua.pt; tresa2812@gmail.com; asac1g09@soton.ac.uk,Alaysia spiralis,Ala18,265833,1,3,492,100,NA,271; 129,Sometimes,3,395,Yes,NA,NA,Dense bush forming,3,395,High,2,395,Other CBE,2.5,271; 129,Endosymbiont,3,492; 129,500,1000,1500,2000,3,271,Hard,3,133; 129,Medium,3,133; 129,Symbiont,3,129; 492,Bacterivore,3,492; 129,Annelida,Polychaeta,Sabellida,Siboglinidae,Alaysia,,spiralis,
19,hwatanabe@jamstec.go.jp; Terue-Cristina.Kihara@senckenberg.de,Altiverruca sp. 1 CIR,Alt19,106137,1,3,66,10,3,66,Always,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,66,None,2,66,2000,2500,2000,2500,3,66,Hard,3,66,Low,3,66,Water column,2,66,NA,2,66,Arthropoda,Hexanauplia,Sessilia,Verrucidae,Altiverruca,,,
20,ijc1g15@soton.ac.uk; cpd4@psu.edu,Alvinactis chessi,Alv20,592930,1,2,66,100,3,620,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,No,2,NA,None,2,66,NA,NA,NA,NA,NA,NA,Hard,2,66,Low,3,66,Fauna,2,-9996,NA,NA,NA,Cnidaria,Anthozoa,Actiniaria,Kadosactinidae,Alvinactis,,chessi,
21,hourdez@sb-roscoff.fr; William.Reid@newcastle.ac.uk; bates.amanda@gmail.com; leigh.marsh@southampton.ac.uk,Alvinella caudata,Alv21,326268,2,3,66,100,3,66; 129,Always,3,66,Yes,3,66,Burrow forming,3,66,High,3,66,Vent,3,66; 129,Episymbiont,3,66; 129,2000,2500,2500,3000,3,66,Hard,2.5,66,High,3,66; 129,Sediment or rock surface,3,66; 129,Bacterivore,3,66; 129,Annelida,Polychaeta,Terebellida,Alvinellidae,Alvinella,,caudata,
22,tresa2812@gmail.com; stace@whoi.edu; hourdez@sb-roscoff.fr; William.Reid@newcastle.ac.uk; bates.amanda@gmail.com; smills@whoi.edu,Alvinella pompejana,Alv22,336171,2,2.5,66,100,3,66; 129,Always,3,66,Yes,3,66,Burrow forming,3,66,High,3,66; 129,Vent,3,66; 129,Episymbiont,3,66; 129; 73; 71,2000,2500,2500,3000,3,66,Hard,3,66; 129,High,3,66; 129,Sediment or rock surface,2.5,66; 129,Bacterivore,3,66; 129,Annelida,Polychaeta,Terebellida,Alvinellidae,Alvinella,,pompejana,
23,verenat@uvic.ca; hwatanabe@jamstec.go.jp,Alviniconcha adamantis,Alv23,827400,3,NA,NA,100,NA,NA,Always,NA,NA,Yes,NA,NA,Bed forming,NA,NA,High,NA,NA,Vent,NA,NA,Endosymbiont,NA,NA,0,500,0,500,NA,NA,Hard,NA,NA,High,NA,NA,Symbiont,NA,NA,Bacterivore,NA,NA,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,adamantis,
24,cpd4@psu.edu,Alviniconcha boucheti,Alv24,827397,3,3,259,100,3,259,Always,3,66; 427; 469,Yes,3,427,Mat forming,2,66; 427; 469,High,2,427,Vent,3,259,Endosymbiont,3,259,1000,1500,2500,3000,3,259,Hard,3,467,High,3,427,Symbiont,3,129,Bacterivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,boucheti,
25,tresa2812@gmail.com; divaamon@gmail.com; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk; stace@whoi.edu; pjt11@duke.edu; smills@whoi.edu; verenat,Alviniconcha hessleri,Alv25,449947,3,3,42; 229,100,3,66; 129,Sometimes,3,66,Yes,2,99,Mat forming,3,66,High,3,66,Vent,3,229; 129,Endosymbiont,3,510; 129,1000,1500,3500,4000,3,289; 42,Hard,2,NA,Medium,3,66; 129,Symbiont,3,510; 607; 129,Bacterivore,3,510; 607,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,hessleri,
26,cpd4@psu.edu,Alviniconcha kojimai,Alv26,827396,3,3,259,100,3,259,Always,3,66; 427; 469,Yes,3,427,Mat forming,2,66; 427; 469,High,2,427,Vent,3,259,Endosymbiont,3,259,1000,1500,2500,3000,3,259,Hard,3,467,High,3,427,Symbiont,3,129,Bacterivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,kojimai,
27,cchen@jamstec.go.jp; Terue-Cristina.Kihara@senckenberg.de; William.Reid@newcastle.ac.uk,Alviniconcha marisindica,Alv27,827398,3,NA,-9997,100,3,259; 66,Always,3,66,No,3,66,Does not add,3,66,High,3,560; 66,Vent,3,259; 581,Endosymbiont,3,507; 508; 509; 510; 554,2000,2500,3000,3500,3,259; 581,Hard,3,581,High,3,647; 560,Symbiont,3,259; 554,Bacterivore,3,259; 554,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,marisindica,
28,cpd4@psu.edu,Alviniconcha strummeri,Alv28,827399,3,3,259,100,3,259,Always,3,66; 427; 469,Yes,3,427,Mat forming,2,66; 427; 469,High,2,427,Vent,3,259,Endosymbiont,3,259,1500,2000,1500,2000,3,259,Hard,3,467,High,3,427,Symbiont,3,129,Bacterivore,3,129,Mollusca,Gastropoda,[unassigned] Caenogastropoda,Provannidae,Alviniconcha,,strummeri,
29,reboschen@uvic.ca; tresa2812@gmail.com,Alvinocaris alexander,Alv29,514284,3,2,66,100,3,2,Always,2,66,No,3,66,Does not add,3,66,High,2,66,Vent,3,2,None,1,66,0,500,1000,1500,3,2,Hard,2,66,NA,NA,NA,Sediment or rock surface,2,66,Carnivore S,1,66,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,alexander,
30,pjt11@duke.edu,Alvinocaris kexueae,Alv30,957119,4,3,66,100,3,629,Always,2,66,No,3,66,Does not add,3,66,Low,3,99,Vent,2,541,Episymbiont,2,506,1000,1500,1500,2000,2,99,Hard,2,66,High,2,99,Sediment or rock surface,2,465,Bacterivore,1,465,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,,
31,cpd4@psu.edu; ijc1g15@soton.ac.uk; hourdez@sb-roscoff.fr; verenat,Alvinocaris komaii,Alv31,514286,4,3,66,100,3,619,Sometimes,NA,66,No,3,66,Does not add,NA,NA,Low,NA,NA,No,2,NA,None,2,66,1500,2000,2000,2500,NA,NA,Hard,3,66,Medium,1,66,Fauna,2,-9996,Detritivore,NA,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,komaii,
32,ijc1g15@soton.ac.uk; hwatanabe@jamstec.go.jp; reboschen@uvic.ca; William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk; sam.southgate@hotmail.co.uk,Alvinocaris longirostris,Alv32,378089,3,3,66; 129,100,3,291; 278,Always,2,66,No,3,66,Does not add,3,66,High,2,66,Other CBE,3,583; 320; 278; 129,Episymbiont,2,528,0,500,1500,2000,3,168; 278; 2; 129,Soft,3,NA,Low,3,NA,Fauna,2,66; 607,Bacterivore,2,607,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,longirostris,
33,ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; hourdez@sb-roscoff.fr; asac1g09@soton.ac.uk,Alvinocaris lusca,Alv33,378090,3,2,NA,100,3,593,Never,NA,NA,No,NA,NA,Does not add,NA,NA,Low,NA,NA,Vent,2,129,None,3,160,2500,3000,2500,3000,3,-9999,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,160,Bacterivore,2,160,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,lusca,
34,ijc1g15@soton.ac.uk; gorolen@mail.ru; corbari@mnhn.fr; William.Reid@newcastle.ac.uk; sam.southgate@hotmail.co.uk; daphne.cuvelier@gmail.com; maria.aa.colaco@uac.pt; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Alvinocaris markensis,Alv34,378091,3,3,66,100,3,66; 129,Never,3,66,No,3,66,Does not add,3,66,Low,3,66,Vent,3,66; 129,None,3,564; 96,1500,2000,3500,4000,3,66; 129,Hard,2.6,66,Low,3,66; 129,Fauna,3,66; 129; 564; 96,Carnivore O,1.666666667,564; 96,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,markensis,
35,reboschen@uvic.ca,Alvinocaris niwa,Alv35,378093,3,2,66,100,2,590; 66,Always,2,66,No,3,66,Does not add,3,66,High,2,66,Vent,3,590,None,1,66,0,500,1000,1500,3,2,Hard,2,66,NA,NA,NA,Sediment or rock surface,2,66,Carnivore S,1,66,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,niwa,
36,hwatanabe@jamstec.go.jp,Alvinocaris solitaire,Alv36,835541,3,2,NA,100,2,NA,Never,NA,66,No,NA,NA,Does not add,NA,NA,Low,NA,66,Vent,2,603,None,2,NA,2500,3000,2500,3000,2,NA,NA,NA,NA,NA,NA,NA,Fauna,1,NA,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,solitaire,
37,William.Reid@newcastle.ac.uk; asac1g09@soton.ac.uk,Alvinocaris sp.,Alv37,378084,3,NA,-9997,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,-9999,None,3,47,2000,2500,4500,5000,1,-9999,NA,NA,NA,NA,NA,NA,Sediment or rock surface,2,47,Bacterivore,2,47,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,,
38,gorolen@mail.ru; verenat; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Alvinocaris williamsi,Alv38,378095,3,3,NA,100,3,NA,Never,3,NA,No,3,NA,Does not add,3,NA,High,2,NA,Vent,3,NA,None,3,NA,500,1000,500,1000,2,NA,Hard,2,NA,Medium,3,NA,Fauna,3,NA,Carnivore S,3,NA,Arthropoda,Malacostraca,Decapoda,Alvinocarididae,Alvinocaris,,williamsi,
39,asac1g09@soton.ac.uk; verenat,Ambilimbus altalis,Amb39,362317,4,2,66,1,3,129,NA,NA,NA,No,1,66,NA,NA,NA,Low,NA,66,Vent,3,129,NA,NA,NA,2000,2500,2000,2500,3,66,Hard,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Hexanauplia,Cyclopoida,Erebonasteridae,Ambilimbus,,altalis,
40,corbari@mnhn.fr,Ampelisca ledoyeri,Amp40,101906,3,3,66,10,2,66,Never,2,66,No,3,66,Does not add,2,66,Low,3,66,Other CBE,3,66,None,3,NA,0,500,0,500,3,66,Soft,2,66,Medium,2,66,Sediment or rock surface,2,66,Detritivore,2,66,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,ledoyeri,
41,ijc1g15@soton.ac.uk; corbari@mnhn.fr; tammy.horton@noc.ac.uk,Ampelisca romigi,Amp41,423028,3,3,66,100,3,129,Sometimes,3,66,No,3,66,NA,NA,NA,Low,3,66,No,2,129,None,3,NA,0,500,2000,2500,3,66,Soft,3,66,Low,3,66,Sediment or rock surface,2,66,Detritivore,3,66,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,,romigi,
42,cpd4@psu.edu,Amphianthus sp.,Amp42,100753,1,2,66,100,NA,66,NA,NA,NA,No,3,66,NA,NA,NA,NA,NA,NA,No,2,NA,None,2,66,NA,NA,NA,NA,NA,NA,Hard,2,66,Low,3,66,NA,NA,NA,NA,NA,NA,Cnidaria,Anthozoa,Actiniaria,Amphianthidae,Amphianthus,,,
43,ijc1g15@soton.ac.uk; William.Reid@newcastle.ac.uk; sabine.gollner@nioz.nl,Amphiascus sp.,Amp43,115305,4,2,-9996,10,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2,300,None,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sediment or rock surface,1,300,Detritivore,2,300,Arthropoda,Hexanauplia,Harpacticoida,Miraciidae,Amphiascus,,,
44,asac1g09@soton.ac.uk; tresa2812@gmail.com; verenat,Amphiduropsis axialensis,Amp44,332941,3,2,66; 129,10,2,66,Never,NA,66,No,3,66,NA,NA,NA,Low,NA,66,Vent,3,129,None,2,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fauna,3,66; 129,Carnivore O,3,66; 129,Annelida,Polychaeta,Phyllodocida,Hesionidae,Amphiduropsis,,axialensis,
45,asac1g09@soton.ac.uk; cpd4@psu.edu; verenat; reboschen@uvic.ca,Amphisamytha carldarei,Amp45,730644,2,3,66,100,3,66,Sometimes,3,66; 352,No,2.5,129; 66,Mat forming,3,66,High,NA,NA,Vent,3,66,None,2,66; 352,1500,2000,2000,2500,NA,66,Hard,3,129,High,3,66; 352,Sediment or rock surface,2,622; 352,Detritivore,3,66,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphisamytha,,carldarei,
45,stace@whoi.edu; leigh.marsh@southampton.ac.uk; smills@whoi.edu,Amphisamytha galapagensis,Amp46,326388,2,2,66,10,3,129,Never,2,66,No,3,NA,Does not add,3,NA,High,2,66,Vent,3,NA,None,2,NA,2000,2500,2500,3000,3,NA,Hard,3,66,Medium,3,66,Sediment or rock surface,2,66; 129,Detritivore,2,NA,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphisamytha,,galapagensis,
47,William.Reid@newcastle.ac.uk; daphne.cuvelier@gmail.com; ijc1g15@soton.ac.uk; gorolen@mail.ru; maria.aa.colaco@uac.pt; jtc@soton.ac.uk; asac1g09@soton.ac.uk,Amphisamytha lutzi,Amp47,730684,3,3,129; 66,100,2,66,Sometimes,3,66,No,3,66,Mat forming,3,66,High,3,453; 66,Vent,3,129,None,3,125; 95,500,1000,4000,4500,2.6,129; 66,Hard,2.6,129; 66,Medium,3,66; 119,Sediment or rock surface,2.25,125; 95; 66,Detritivore,2.4,125; 95; 66,Annelida,Polychaeta,Terebellida,Ampharetidae,Amphisamytha,,lutzi,
48,William.Reid@newcastle.ac.uk; verenat; asac1g09@soton.ac.uk,Anemone cf. Hadalanthus sp.,Ane48,854086,1,NA,-9997,100,NA,-9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vent,NA,-9999,None,2,149,1000,1500,1000,1500,1,555,NA,NA,NA,NA,NA,NA,Water column,2,-9998,Carnivore O,2,149,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Hadalanthus,,,
49,ijc1g15@soton.ac.uk; sabine.gollner@nioz.nl; bates.amanda@gmail.com,Aphotopontius acanthinus,Aph49,348889,4,2,66,10,3,66,Sometimes,1,66,No,3,66,Does not add,2,66,High,3,198; 200,No,2,195,None,3,66,2000,2500,2500,3000,2,196; 129,Hard,3,200; 244,Medium,3,200; 244,Sediment or rock surface,3,144; 217; 66; 244,Bacterivore,1,244; 217,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,acanthinus,
50,sabine.gollner@nioz.nl; sam.southgate@hotmail.co.uk,Aphotopontius arcuatus,Aph50,348890,4,2,66,10,3,66,NA,NA,NA,No,3,66,Does not add,2,66,High,2,200,Vent,3,196; 66; 129,None,2,66,1000,1500,3500,4000,3,129,Hard,3,200; 198,Medium,3,196,Sediment or rock surface,1,217,Bacterivore,1,217; 66,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,arcuatus,
51,daphne.cuvelier@gmail.com; gorolen@mail.ru; ijc1g15@soton.ac.uk; sam.southgate@hotmail.co.uk; sabine.gollner@nioz.nl,Aphotopontius atlanteus,Aph51,135800,4,3,66,10,3,66,Never,2,NA,No,3,NA,Does not add,2,NA,High,3,129,Vent,3,129,None,3,NA,500,1000,3500,4000,3,129; 66,Hard,2,NA,Medium,2,NA,Sediment or rock surface,2,NA,Bacterivore,2,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,atlanteus,
52,sam.southgate@hotmail.co.uk; sabine.gollner@nioz.nl,Aphotopontius baculigerus,Aph52,348891,4,3,66,10,3,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,3,NA,Vent,3,129,NA,NA,NA,1000,1500,3500,4000,3,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,baculigerus,
53,bates.amanda@gmail.com; ijc1g15@soton.ac.uk; sabine.gollner@nioz.nl,Aphotopontius flexispinus,Aph53,348892,4,2,66,10,3,66,Sometimes,1,66,No,3,66,Does not add,2,66,High,3,198; 200,Vent,2,541; 239; 196; 66,None,3,66,2000,2500,2500,3000,2,196,Hard,2.5,196; 66,Medium,3,196,Sediment or rock surface,2,202; -9997,Bacterivore,1,217; 66; 198,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,flexispinus,
54,asac1g09@soton.ac.uk; gorolen@mail.ru; ijc1g15@soton.ac.uk; verenat; sabine.gollner@nioz.nl,Aphotopontius forcipatus,Aph54,348893,4,2,66,10,3,66,Never,2,NA,No,3,66,Does not add,2,NA,High,3,NA,Vent,3,129; 66,None,3,66,1500,2000,2000,2500,3,66,Hard,2,66,Medium,2,NA,Fauna,2,66,Bacterivore,3,66,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,forcipatus,
55,bates.amanda@gmail.com; ijc1g15@soton.ac.uk; sabine.gollner@nioz.nl,Aphotopontius hydronauticus,Aph55,348894,4,2,66,10,3,66,Sometimes,1,66,No,3,66,Does not add,2,66,High,3,198; 200,Vent,2,196 ; 66; 198; 541,None,3,66,2000,2500,2500,3000,2,196; 129,Hard,2.5,196; 66,Medium,3,196,Sediment or rock surface,2,66; 198; 217,Bacterivore,1,217; 66; 198,Arthropoda,Hexanauplia,Siphonostomatoida,Dirivultidae,Aphotopontius,,hydronauticus,
