"","unique(bis$scientificName)"
"419","Kumba japonica"
"420","Coryphaenoides nasutus"
"421","Crenimugil crenilabis"
"422","Goniistius zebra"
"423","Dendrochirus brachypterus"
"424","Sebastiscus marmoratus"
"425","Engraulis japonicus"
"426","Maurolicus japonicus"
"427","Pomacentrus philippinus"
"428","Labridae"
"429","Terapon jarbua"
"430","Gnatholepis cauerensis"
"431","Pomacentrus alexanderae"
"432","Eviota korechika"
"433","Fowleria isostigma"
"434","Champsodon snyderi"
"435","Praealticus tanegashimae"
"436","Bembras japonica"
"437","Photostomias"
"438","Pomacentrus"
"439","Synanceia verrucosa"
"440","Apogon carinatus"
"441","Malthopsis annulifera"
"442","Rogadius asper"
"443","Epigonus denticulatus"
"444","Lutjanus fulvus"
"445","Lycodes tanakae"
"446","Argyropelecus sladeni"
"447","Cubiceps pauciradiatus"
"448","Scombrops boops"
"449","Argentina kagoshimae"
"450","Lepidotrigla kishinouyei"
"451","Champsodontidae"
"452","Etmopterus pusillus"
"453","Corythoichthys"
"454","Artediellus fuscimentus"
"455","Epibulus insidiator"
"456","Norfolkia thomasi"
"457","Ulca xenogrammus"
"458","Pampus punctatissimus"
"459","Apogon coccineus"
"460","Lutjanus ophuysenii"
"461","Hexagrammos otakii"
"462","Chaetodon trifasciatus"
"463","Microcanthus strigatus"
"464","Chromis elerae"
"465","Lycodapus"
"466","Pachystomias microdon"
"467","Cheilodipterus isostigmus"
"468","Coelorinchus productus"
"469","Plesiops coeruleolineatus"
"470","Salarias fasciatus"
"471","Uranoscopus japonicus"
"472","Salarias luctuosus"
"473","Paragobiodon limicolus"
"474","Rouleina watasei"
"475","Taractes rubescens"
"476","Gerres"
"477","Ocosia vespa"
"478","Obliquogobius yamadai"
"479","Abalistes filamentosus"
"480","Sicyopterus japonicus"
"481","Carangidae"
"482","Gobiodon okinawae"
"483","Neoniphon sammara"
"484","Minous pusillus"
"485","Pervagor melanocephalus"
"486","Periophthalmus argentilineatus"
"487","Goniistius zonatus"
"488","Helcogramma striata"
"489","Pomacentrus nagasakiensis"
"490","Redigobius bikolanus"
"491","Acanthaphritis barbata"
"492","Eviota specca"
"493","Kuhlia mugil"
"494","Cocotropus larvatus"
"495","Syngnathus schlegeli"
"496","Synchiropus moyeri"
"497","Acanthurus xanthopterus"
"498","Priacanthus macrocanthus"
"499","Priolepis semidoliata"
"500","Parupeneus barberinus"
"501","Physiculus"
"502","Acentrogobius virgatulus"
"503","Bregmaceros nectabanus"
"504","Calumia godeffroyi"
"505","Ventrifossa garmani"
"506","Obliquogobius cirrifer"
"507","Stegastes nigricans"
"508","Heteropriacanthus cruentatus"
"509","Apogon niger"
"510","Gambusia affinis"
"511","Rondeletia loricata"
"512","Coelorinchus jordani"
"513","Mugilidae"
"514","Pomacentrus vaiuli"
"515","Pempheris"
"516","Gymnothorax melatremus"
"517","Eviota herrei"
"518","Scorpaena miostoma"
"519","Istiblennius enosimae"
"520","Ilyophis"
"521","Onigocia spinosa"
"522","Apogon seminigracaudus"
"523","Chrysiptera cyanea"
"524","Scarus rubroviolaceus"
"525","Cookeolus japonicus"
"526","Pteragogus flagellifer"
"527","Nemipterus tambuloides"
"528","Enneapterygius tutuilae"
"529","Synodus tectus"
"530","Bodianus axillaris"
"531","Pomacentridae"
"532","Synaphobranchus brevidorsalis"
"533","Asterropteryx ensifera"
"534","Sphyraena japonica"
"535","Pseudochromis fuscus"
"536","Trachinocephalus myops"
"537","Sternoptyx pseudobscura"
"538","Lethrinus nebulosus"
"539","Zoarces gillii"
"540","Echiostoma barbatum"
"541","Balistapus undulatus"
"542","Diaphus"
"543","Archamia"
"544","Ctenochaetus binotatus"
"545","Kyphosus pacificus"
"546","Limnichthys nitidus"
"547","Parupeneus pleurostigma"
"548","Clidoderma asperrimum"
"549","Eviota lacrimae"
"550","Aluterus monoceros"
"551","Zebrasoma scopas"
"552","Scarus"
"553","Myripristis pralinia"
"554","Callogobius"
"555","Lepidotrigla abyssalis"
"556","Amblygobius albimaculatus"
"557","Rhinogobius similis"
"558","Fusigobius neophytus"
"559","Lactoria fornasini"
"560","Parajulis poecilepterus"
"561","Neosynchiropus morrisoni"
"562","Eleotris acanthopoma"
"563","Daicocus peterseni"
"564","Antennarius"
"565","Halieutopsis bathyoreos"
"566","Benthodesmus"
"567","Sufflamen chrysopterum"
"568","Rhinochimaera pacifica"
"569","Heteroconger hassi"
"570","Carcharhinus limbata"
"571","Balistoides viridescens"
"572","Synaphobranchidae"
"573","Coelorinchus hubbsi"
"574","Sphyraena forsteri"
"575","Erosa erosa"
"576","Oostethus brachyurus brachyurus"
"577","Dentex tumifrons"
"578","Lethrinus nematacanthus"
"579","Uranoscopus bicinctus"
"580","Hippocampus histrix"
"581","Antimora microlepis"
"582","Pseudanthias fasciatus"
"583","Chaetodon lunulatus"
"584","Apogon doryssa"
"585","Apogon properuptus"
"586","Cepola schlegeli"
"587","Fowleria variegata"
"588","Acanthoplesiops psilogaster"
"589","Bathycallionymus"
"590","Apogon angustatus"
"591","Rhinecanthus aculeatus"
"592","Dicrolene"
"593","Rudarius ercodes"
"594","Scarus niger"
"595","Parupeneus multifasciatus"
"596","Peristedion orientale"
"597","Samariscus japonicus"
"598","Chelon affinis"
"599","Bassozetus zenkevitchi"
"600","Opsariichthys uncirostris"
"601","Poecilia reticulata"
"602","Amblygobius hectori"
"603","Centroscymnus owstonii"
"604","Aspasma minima"
"605","Trichiurus japonicus"
"606","Sudis atrox"
"607","Pterois lunulata"
"608","Takifugu obscurus"
"609","Repomucenus curvicornis"
"610","Hippoglossoides dubius"
"611","Etelis coruscans"
"612","Polymixia longispina"
"613","Ucla xenogramma"
"614","Cololabis saira"
"615","Parupeneus dubius"
"616","Percophidae"
"617","Narcetes wonderi"
"618","Coryphaenoides"
"619","Lagocephalus lagocephalus"
"620","Enneapterygius leicopunctatus"
"621","Trimma caesiura"
"622","Ventrifossa"
"623","Chaetodon lunula"
"624","Tarphops elegans"
"625","Callionymus persicus izuensis"
"626","Luciogobius parvulus"
"627","Oreochromis niloticus niloticus"
"628","Neobythites bimaculatus"
"629","Liparis tessellatus"
"630","Suruga fundicola"
"631","Apogon notatus"
"632","Pseudogobius javanicus"
"633","Callogobius okinawae"
"634","Acanthonus armatus"
"635","Ariosoma anagoides"
"636","Chascanopsetta lugubris"
"637","Abudefduf notatus"
"638","Malakichthys griseus"
"639","Ariosoma shiroanago shiroanago"
"640","Chaenogobius gulosus"
"641","Fusigobius gracilis"
"642","Dascyllus trimaculatus"
"643","Amphiprion perideraion"
"644","Takifugu exascurus"
"645","Lycodes albonotatus"
"646","Davidijordania poecilimon"
"647","Notoscopelus caudispinosus"
"648","Hippoglossoides pinetorum"
"649","Myripristis vittata"
"650","Repomucenus beniteguri"
"651","Hoplostethus"
"652","Priacanthus"
"653","Neoglyphidodon melas"
"654","Gymnocranius griseus"
"655","Synaphobranchus"
"656","Chelidoperca pleurospilus"
"657","Scorpaenodes evides"
"658","Lampadena luminosa"
"659","Coris dorsomacula"
"660","Cynoglossus ochiaii"
"661","Thunnus"
"662","Saurida gracilis"
"663","Parapercis aurantiaca"
"664","Lethrinus genivittatus"
"665","Trimma"
"666","Asterropteryx semipunctata"
"667","Nezumia condylura"
"668","Chrysiptera glauca"
"669","Pterogobius zonoleucus"
"670","Coryphaenoides marginatus"
"671","Cercamia eremia"
"672","Paramyxine sheni"
"673","Plectranthias yamakawai"
"674","Thamnaconus"
"675","Scolecenchelys fuscapenis"
"676","Amblyeleotris diagonalis"
"677","Pseudogramma polyacanthum"
"678","Solenostomus paradoxus"
"679","Moolgarda"
"680","Malacocottus"
"681","Parachaeturichthys polynema"
"682","Lophius litulon"
"683","Arothron nigropunctatus"
"684","Lophiiformes"
"685","Chaetodon"
"686","Lethrinus olivaceus"
"687","Sebastolobus macrochir"
"688","Lepidotrigla hime"
"689","Cheilodipterus artus"
"690","Macropharyngodon moyeri"
"691","Auxis"
"692","Foetorepus altivelis"
"693","Chromis alleni"
"694","Lagocephalus spadiceus"
"695","Paramonacanthus japonicus"
"696","Oplopomus caninoides"
"697","Aldrovandia affinis"
"698","Hoplostethus japonicus"
"699","Wetmorella nigropinnata"
"700","Eviota cometa"
"701","Chelidoperca margaritifera"
"702","Paraliparis"
"703","Tanakius kitaharai"
"704","Pseudocaranx dentex"
"705","Parazen pacificus"
"706","Tridentiger brevispinis"
"707","Kentrocapros flavofasciatus"
"708","Coryphaena hippurus"
"709","Naso unicornis"
"710","Enchelycore bayeri"
"711","Priolepis cincta"
"712","Stegastes fasciolatus"
"713","Choerodon anchorago"
"714","Trachinotus blochii"
"715","Canthigaster janthinoptera"
"716","Polyipnus spinifer"
"717","Diodon holocanthus"
"718","Cirripectes castaneus"
"719","Dendrochirus zebra"
"720","Diaphus mollis"
"721","Trimma maiandros"
"722","Canthigaster ocellicincta"
"723","Sphyraena pinguis"
"724","Arctoscopus japonicus"
"725","Halicmetus ruber"
"726","Uranoscopus affinis"
"727","Cantherhines dumerilii"
"728","Kopua vermiculata"
"729","Brachaluteres ulvarum"
"730","Pholis nebulosa"
"731","Bothrocara hollandi"
"732","Nealotus tripes"
"733","Monomitopus"
"734","Lampadena urophaos"
"735","Neomerinthe"
"736","Nansenia ardesiaca"
"737","Pomacanthus imperator"
"738","Trachinotus baillonii"
"739","Labropsis manabei"
"740","Bolinichthys longipes"
"741","Poecilopsetta plinthus"
"742","Sarda orientalis"
"743","Repomucenus huguenini"
"744","Rhinogobius nagoyae"
"745","Zeus faber"
"746","Stlengis osensis"
"747","Plectranthias kelloggi azumanus"
"748","Acentrogobius pflaumii"
"749","Parapercis"
"750","Lutjanus sebae"
"751","Saurida macrolepis"
"752","Exyrias bellissimus"
"753","Zacco platypus"
"754","Thamnaconus modestus"
"755","Gonostomatidae"
"756","Chlorurus microrhinos"
"757","Trimma macrophthalmum"
"758","Fistularia petimba"
"759","Coelorinchus japonicus"
"760","Epigonus pectinifer"
"761","Halichoeres"
"762","Cryptocentrus sericus"
"763","Eurypleuron owasianum"
"764","Conidens laticephalus"
"765","Gymnogobius petschiliensis"
"766","Chromis chrysurus"
"767","Plectropomus laevis"
"768","Bathysaurus mollis"
"769","Myctophum asperum"
"770","Apogon kiensis"
"771","Diodon"
"772","Sphyraena obtusata"
"773","Pomacentrus bankanensis"
"774","Apogon compressus"
"775","Heteromycteris japonicus"
"776","Lefua echigonia"
"777","Bodianus oxycephalus"
"778","Fusigobius signipinnis"
"779","Pseudorhombus oculocirris"
"780","Pentaceros japonicus"
"781","Lumpenopsis triocellata"
"782","Cirrhilabrus"
"783","Synaphobranchus affinis"
"784","Alepocephalus"
"785","Erisphex pottii"
"786","Kali parri"
"787","Trichonotus"
"788","Histiopterus typus"
"789","Bythitidae"
"790","Priacanthus zaiserae"
"791","Thalassoma hardwicke"
"792","Pseudoblennius marmoratus"
"793","Photonectes albipennis"
"794","Halichoeres argus"
"795","Chauliodus sloani"
"796","Sargocentron tiere"
"797","Pennahia argentata"
"798","Sargocentron ittodai"
"799","Hoplostethus melanopus"
"800","Banjos banjos"
"801","Gnathophis nystromi"
"802","Thalassoma lunare"
"803","Gobiodon unicolor"
"804","Ecsenius lineatus"
"805","Erisphex potti"
"806","Ophidiidae"
"807","Canthigaster rivulata"
"808","Eviota masudai"
"809","Dictyosoma burgeri"
"810","Mulloidichthys vanicolensis"
"811","Enchelyurus kraussi"
"812","Pristipomoides flavipinnis"
"813","Glyptoparus delicatulus"
"814","Dischistodus prosopotaenia"
"815","Sueviota lachneri"
"816","Hoplichthys gilberti"
"817","Nemateleotris magnifica"
"818","Takifugu niphobles"
"819","Callogobius hasseltii"
"820","Etmopterus princeps"
"821","Mulloidichthys flavolineatus"
"822","Conger cinereus"
"823","Lycodes matsubarai"
"824","Parachirus"
"825","Epinephelus octofasciatus"
"826","Istiblennius edentulus"
"827","Pseudanthias hypselosoma"
"828","Cosmocampus banneri"
"829","Pempheris oualensis"
"830","Tilapia zillii"
"831","Lethrinus xanthochilus"
"832","Carassius"
"833","Centropyge tibicen"
"834","Dasyatis akajei"
"835","Lepidotrigla kanagashira"
"836","Parapercis sexfasciata"
"837","Eviota pellucida"
"838","Chilomycterus reticulatus"
"839","Apogon exostigma"
"840","Argyropelecus hemigymnus"
"841","Leptoderma retropinna"
"842","Acreichthys radiatus"
"843","Pristotis obtusirostris"
"844","Amblychaeturichthys hexanema"
"845","Callogobius maculipinnis"
"846","Diplophos taenia"
"847","Eustomias bifilis"
"848","Oncorhynchus masou ishikawae"
"849","Istigobius hoshinonis"
"850","Novaculops sciistius"
"851","Cheilodipterus intermedius"
"852","Trachurus japonicus"
"853","Coelorinchus kamoharai"
"854","Takifugu pardalis"
"855","Diaphus gigas"
"856","Paraplagusia japonica"
"857","Rhinobatos schlegelii"
"858","Steeneichthys plesiopsus"
"859","Ophichthus asakusae"
"860","Scalicus amiscus"
"861","Congridae"
"862","Paragobiodon melanosomus"
"863","Apogon ishigakiensis"
"864","Acanthurus"
"865","Cirrhilabrus earlei"
"866","Gnathodentex aureolineatus"
"867","Proscyllium venustum"
"868","Polyacanthonotus challengeri"
"869","Elagatis bipinnulata"
"870","Symphurus strictus"
"871","Hemiramphidae"
"872","Assurger anzac"
"873","Porogadus"
"874","Taaningichthys paurolychnus"
"875","Thalassoma trilobatum"
"876","Neamia alticycla"
"877","Bryaninops natans"
"878","Helcogramma gymnauchen"
"879","Stenogobius"
"880","Neoclinus bryope"
"881","Sargocentron diadema"
"882","Coelorinchus kishinouyei"
"883","Carangoides orthogrammus"
"884","Dibranchus nudiventer"
"885","Neoscopelus"
"886","Odonus niger"
"887","Helcogramma nesion"
"888","Sardinella lemuru"
"889","Raja acutispina"
"890","Parapercis ommatura"
"891","Zebrias fasciatus"
"892","Trichonotus setiger"
"893","Cheilinus chlorourus"
"894","Heteromycteris japonica"
"895","Scyliorhinus tokubee"
"896","Kaiwarinus equula"
"897","Mobula diabolus"
"898","Citharoides macrolepidotus"
"899","Gerres oyena"
"900","Chelon haematocheilus"
"901","Lepidocybium flavobrunneum"
"902","Psettina tosana"
"903","Lycodes nakamurai"
"904","Symphurus thermophilus"
"905","Pempheris schwenkii"
"906","Zesticelus bathybius"
"907","Dysomma anguillare"
"908","Parkraemeria saltator"
"909","Pseudochromis luteus"
"910","Liachirus melanospilus"
"911","Vinciguerria nimbaria"
"912","Petroscirtes mitratus"
"913","Repomucenus virgis"
"914","Enneapterygius"
"915","Aulostomus chinensis"
"916","Antigonia capros"
"917","Echelus uropterus"
"918","Scomber japonicus"
"919","Chrysiptera parasema"
"920","Timorichthys angustus"
"921","Diaphus suborbitalis"
"922","Coelorinchus smithi"
"923","Tarphops oligolepis"
"924","Anampses caeruleopunctatus"
"925","Lethrinus"
"926","Lutjanus kasmira"
"927","Limnichthys fasciatus"
"928","Gymnosarda unicolor"
"929","Uranoscopus chinensis"
"930","Halieutaea indica"
"931","Diogenichthys"
"932","Arothron stellatus"
"933","Chaetodon vagabundus"
"934","Homostolus acer"
"935","Psychrolutidae"
"936","Halichoeres melanurus"
"937","Exallias brevis"
"938","Paramonacanthus nipponensis"
"939","Raja pulchra"
"940","Scorpaenopsis neglecta"
"941","Heniochus varius"
"942","Champsodon longipinnis"
"943","Melichthys vidua"
"944","Luciogobius elongatus"
"945","Myersina nigrivirgata"
"946","Vanderhorstia"
"947","Synodus ulae"
"948","Etmopterus brachyurus"
"949","Cetoscarus bicolor"
