"","Taxon","NamID","fieldNumber","references"
"104","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002449"
"105","Alvinocaris longirostris","Sakai","HPD#1860","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054702"
"106","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1268","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010010957"
"107","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042414"
"108","Alvinocaris longirostris","Izena Cauldron","HPD#0397","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013137"
"109","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#0863","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2080008195"
"110","Alvinocaris longirostris","Myojin Knoll","HPD#965, HPD#971","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/4090038245"
"111","Alvinocaris longirostris","Sakai","HPD#1857","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054496"
"112","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002508"
"113","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1612","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041328"
"114","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1621","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042236"
"115","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1371","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020015349"
"116","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054532"
"117","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002447"
"118","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1358","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011426"
"120","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002443"
"121","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010452"
"122","Alvinocaris longirostris","Tarama Knoll","6K#1508","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054150"
"124","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002452"
"125","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1593","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040503"
"126","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002457"
"127","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","HPD#1622","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042268"
"128","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002451"
"129","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1273","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010015123"
"130","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010449"
"132","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1619","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041713"
"133","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1861","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054747"
"134","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0293","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2040012872"
"135","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042389"
"136","Alvinocaris longirostris","Izena Cauldron","HPD#1193","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021724"
"137","Alvinocaris longirostris","Sakai","HPD#1245","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110043087"
"138","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002516"
"139","Alvinocaris longirostris","Izena Cauldron","HPD#1193","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021713"
"140","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042394"
"141","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1592","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040438"
"142","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042378"
"143","Alvinocaris longirostris","Izena Cauldron","HPD#1191","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021670"
"144","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1592","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040467"
"145","Alvinocaris longirostris","Sakai","HPD#1860","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054694"
"146","Alvinocaris longirostris","Sakai","HPD#1245","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110024578"
"147","Alvinocaris longirostris","Sakai","HPD#1183","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021606"
"148","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0399","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013161"
"149","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1270","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011027"
"150","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010453"
"151","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010445"
"152","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1593","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040500"
"153","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002459"
"154","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1859","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054612"
"155","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054582"
"156","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1362","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011512"
"157","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054526"
"158","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","HPD#1622","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042273"
"159","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054571"
"160","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#0863","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2080008197"
"161","Alvinocaris longirostris","Izena Cauldron","HPD#1192","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021693"
"162","Alvinocaris longirostris","SPOT, Hatoma Knoll","6K#1000","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2060016504"
"163","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1612","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041307"
"164","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","HPD#1622","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042285"
"165","Alvinocaris longirostris","Izena Cauldron","HPD#1184","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021659"
"166","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042418"
"167","Alvinocaris longirostris","Izena Cauldron","HPD#0397","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013126"
"168","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1359","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011464"
"169","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054546"
"171","Alvinocaris longirostris","SPOT, Hatoma Knoll","6K#1000","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2060021486"
"172","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010451"
"173","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1592","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040457"
"174","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002458"
"175","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1361","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011501"
"176","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054516"
"177","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010435"
"178","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1361","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011504"
"179","Alvinocaris longirostris","Sakai","HPD#1246","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110024582"
"180","Alvinocaris longirostris","Izena Cauldron","HPD#1184","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021649"
"181","Alvinocaris longirostris","Sakai","HPD#1860","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054687"
"182","Alvinocaris longirostris","Sakai","HPD#1860","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054675"
"183","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1614","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041405"
"184","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1178","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021588"
"185","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002455"
"186","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1270","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011026"
"187","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1861","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054773"
"188","Alvinocaris longirostris","Tarama Knoll","6K#1509","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054186"
"189","Alvinocaris longirostris","Izena Cauldron","HPD#1192","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021692"
"190","Alvinocaris longirostris","North Knoll, Iheya Ridge","KAIKO#0805","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1180059199"
"191","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1621","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042186"
"192","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1178","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021589"
"193","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042370"
"194","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1610","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041300"
"195","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1273","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011090"
"196","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1359","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011474"
"198","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002461"
"199","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0225","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2030012761"
"200","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054572"
"201","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002448"
"202","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002453"
"203","Alvinocaris longirostris","Izena Cauldron","HPD#0398","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013155"
"204","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1352","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011317"
"205","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0400","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013184"
"206","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1273","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011087"
"207","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002444"
"208","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002445"
"209","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1610","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041286"
"211","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1271","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010015036"
"212","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1269","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010010973"
"213","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002462"
"214","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1592","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040472"
"215","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1178","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021590"
"216","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1610","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041277"
"217","Alvinocaris longirostris","Sakai","HPD#1858","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054566"
"218","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990005580"
"219","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1371","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011590"
"220","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1610","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041253"
"221","Alvinocaris longirostris","Irabu Knoll","HPD#1624","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042429"
"222","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0225","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2030008838"
"223","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010434"
"224","Alvinocaris longirostris","Izena Cauldron","HPD#0397","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013130"
"225","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002456"
"226","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010483"
"227","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1861","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054730"
"228","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1359","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011482"
"229","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1354","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/32030"
"230","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1621","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042166"
"231","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1352","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011290"
"232","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","2K#1267","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010010928"
"234","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0226","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2030012792"
"235","Alvinocaris longirostris","Izena Cauldron","HPD#1184","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021640"
"236","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0400","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013191"
"237","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#0399","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013173"
"238","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002463"
"239","Alvinocaris longirostris","Sakai","HPD#1183","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021626"
"240","Alvinocaris longirostris","SPOT, Hatoma Knoll","6K#0999","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2060007321"
"241","Alvinocaris longirostris","SPOT, Yonaguni Knoll IV","HPD#1623","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042340"
"242","Alvinocaris longirostris","North Knoll, Iheya Ridge","2K#1094","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990010423"
"243","Alvinocaris longirostris","Nikko volcano","HPD#967, HPD#968","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/4090038399"
"244","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1352","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011305"
"245","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1359","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011462"
"246","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002446"
"247","Alvinocaris longirostris","North Knoll, Iheya Ridge","HPD#1178","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021546"
"248","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1028","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002460"
"249","Alvinocaris longirostris","SPOT, Hatoma Knoll","HPD#1621","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042228"
"250","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1371","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011585"
"251","Alvinocaris longirostris","SPOT, Hatoma Knoll","2K#1275","http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011191"
