Taxon,NamID,fieldNumber,references,freq
Gandalfus yunohana,Minami-Ensei Knoll,HPD#0703,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2070007372,1
Gandalfus yunohana,Northwest Eifuku,HPD#0492,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006552,1
Gandalfus yunohana,Northwest Rota-1 volcano,HPD#1161,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100023685,1
Iheyaspira lequios,Izena Cauldron,HPD#1184,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021646,1
Iheyaspira lequios,Sakai,HPD#1183,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021609,1
Iheyomytilidicola tridentatus,Sakai,2K#0613,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920011713,1
Lamellibrachia satsuma,Sakai,2K#0613,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920026548,1
Lebbeus washingtonianus,Sakai,2K#0673,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930008845,1
Lepetodrilus japonicus,Minami-Ensei Knoll,2K#0428,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890005963,1
Lepetodrilus japonicus,Sakai,2K#0427,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890005965,1
Lepetodrilus nux,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042430,1
Leptochiton tenuidontus,"North Knoll, Iheya Ridge",HPD#1592,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130040476,1
Leucolepas longa,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042392,1
Margarites ryukyuensis,Izena Cauldron,HPD#1184,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021636,1
Margarites ryukyuensis,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054197,1
Margarites shinkai,Izena Cauldron,DK89-1-OKN leg2 19890625 Izena Hole,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890014230,1
Marianactis bythios,Alice Springs Field,6K#0140,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/24673,1
Munidopsis lauensis,"SPOT, Hatoma Knoll",HPD#0400,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050013188,1
Munidopsis longispinosa,"SPOT, Hatoma Knoll",HPD#0400,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050016363,1
Mytilidiphila enseiensis,Minami-Ensei Knoll,2K#0616,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920011717,1
Mytilidiphila okinawaensis,Minami-Ensei Knoll,2K#0549,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910011694,1
Mytilidiphila okinawaensis,Sakai,2K#0614,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920011714,1
Neoverruca intermedia,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042402,1
Neoverruca intermedia,"SPOT, Yonaguni Knoll IV",HPD#1623,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042348,1
Oenopota ogasawarana,Nikko volcano,HPD#0967,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090000661,1
Oncaea venusta,"Kueishan Island, offshore","Stations A, B, KS, C, D",http://www.godac.jamstec.go.jp/bismal/record/S9-5/Asia-Pacific/Le09.0121,1
Opaepele loihi,Suiyo Seamount,HPD#1287,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/4110032065,1
Paralomis verrilli,Izena Cauldron,HPD#1193,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021716,1
Paralvinella hessleri,Suiyo Seamount,HPD#1285,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110028486,1
Provanna clathrata,"North Knoll, Iheya Ridge",HPD#1861,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054803,1
Provanna lucida,"North Knoll, Iheya Ridge",HPD#1859,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054616,1
Provanna subglabra,Kagoshima Bay,HPD#0879,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2080008738,1
Provanna subglabra,"SPOT, Hatoma Knoll",2K#1188,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2000010689,1
Provanna subglabra,"SPOT, Yonaguni Knoll IV",2K#1271,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011060,1
Puncturella parvinobilis,Izena Cauldron,2K#0360,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880021132,1
Pyropelta ryukyuensis,"SPOT, Yonaguni Knoll IV",2K#1267,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010010909,1
Shinkailepas kaikatensis,Suiyo Seamount,2K#1237,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2000010866,1
Simenchelys parasitica,Myojinsho Caldera,HPD#0972,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090000737,1
Symphurus thermophilus,Daikoku volcano,HPD#0491,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/48438,1
Alviniconcha hessleri,Forecast,6K#0188,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/24208,2
Alviniconcha hessleri,Forecast,6K#0353,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/69149,2
Alvinocaris longirostris,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054186,2
Alvinocaris longirostris,Tarama Knoll,6K#1508,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054150,2
Bathyacmaea secunda,"SPOT, Yonaguni Knoll IV",6K#0560,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2000012024,2
Bathyacmaea secunda,"SPOT, Yonaguni Knoll IV",6K#0560,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2000012030,2
Bathymodiolus septemdierum,Mokuyo Seamount,2K#0628,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009578,2
Bathymodiolus septemdierum,Mokuyo Seamount,2K#0694,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930014948,2
Bathymodiolus septemdierum,Sumisu Caldera,HPD#0084,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010015554,2
Bathymodiolus septemdierum,Sumisu Caldera,HPD#0084,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010013276,2
Branchipolynoe pettiboneae,Izena Cauldron,HPD#1188,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021665,2
Branchipolynoe pettiboneae,Izena Cauldron,2K#0364,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880011641,2
Gandalfus yunohana,Alice Springs Field,6K#0153,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920025529,2
Gandalfus yunohana,Alice Springs Field,6K#0153,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920025417,2
Gigantidas horikoshii,Kaikata Seamount,2K#0340,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/E-library+of+Deep-sea+Images/20136,2
Gigantidas horikoshii,Kaikata Seamount,2K#0558,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910017468,2
Laeviphitus japonicus,Kasuga 2 Seamount,HPD#0490,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006534,2
Laeviphitus japonicus,Kasuga 2 Seamount,DT#KY02-08 DT-17C,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020015394,2
Lamellibrachia satsuma,Daikoku volcano,HPD#0498,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050016219,2
Lamellibrachia satsuma,Daikoku volcano,HPD#0491,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006548,2
Lamellibrachia satsuma,Omuro Hole,HPD#1492,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130036379,2
Lamellibrachia satsuma,Omuro Hole,HPD#1492,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130036373,2
Lepetodrilus elevatus,Alice Springs Field,6K#0140,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009612,2
Lepetodrilus elevatus,Alice Springs Field,6K#0141,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920009610,2
Leptochiton tenuidontus,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054202,2
Leptochiton tenuidontus,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054201,2
Leucolepas longa,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054703,2
Leucolepas longa,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054704,2
Margarites ryukyuensis,Irabu Knoll,HPD#1332,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110027735,2
Margarites ryukyuensis,Irabu Knoll,HPD#1332,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110027739,2
Munidopsis ryukyuensis,"SPOT, Yonaguni Knoll IV",HPD#1623,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042353,2
Munidopsis ryukyuensis,"SPOT, Yonaguni Knoll IV",HPD#1622,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042261,2
Oenopota ogasawarana,Kasuga 2 Seamount,DT#KY02-08 DT-12C,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020015396,2
Oenopota ogasawarana,Kasuga 2 Seamount,DT#KY02-08 DT-16C,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020015395,2
Paralvinella hessleri,Bayonnaise Knoll caldera,HPD#1648,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042847,2
Paralvinella hessleri,Bayonnaise Knoll caldera,HPD#1648,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042845,2
Paralvinella hessleri,"SPOT, Yonaguni Knoll IV",HPD#1622,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042286,2
Paralvinella hessleri,"SPOT, Yonaguni Knoll IV",HPD#1623,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042308,2
Puncturella parvinobilis,"North Knoll, Iheya Ridge",2K#0864,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2960014103,2
Puncturella parvinobilis,"North Knoll, Iheya Ridge",2K#0863,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2960019583,2
Shinkai longipedata,"North Knoll, Iheya Ridge",HPD#1859,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054663,2
Shinkai longipedata,"North Knoll, Iheya Ridge",2K#0864,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2960004895,2
Shinkai semilonga,Minami-Ensei Knoll,2K#0616,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920011718,2
Shinkai semilonga,Minami-Ensei Knoll,2K#0616,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2920011719,2
Shinkaicaris leurokolos,Izena Cauldron,HPD#1193,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021714,2
Shinkaicaris leurokolos,Izena Cauldron,HPD#1184,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021643,2
Shinkaicaris leurokolos,Minami-Ensei Knoll,2K#0549,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910017144,2
Shinkaicaris leurokolos,Minami-Ensei Knoll,HPD#0697,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2070016506,2
Shinkailepas myojinensis,Myojin Knoll,2K#1115,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990014407,2
Shinkailepas myojinensis,Myojin Knoll,2K#1112,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2990014411,2
Shinkailepas myojinensis,Omuro Hole,HPD#1492,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130036357,2
Shinkailepas myojinensis,Omuro Hole,HPD#1492,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1130036356,2
Simenchelys parasitica,Myojin Knoll,HPD#1651,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042927,2
Simenchelys parasitica,Myojin Knoll,HPD#0970,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090000722,2
Thermochiton undocostatus,"SPOT, Hatoma Knoll",HPD#1621,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042151,2
Thermochiton undocostatus,"SPOT, Hatoma Knoll",HPD#1621,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042153,2
Bathymodiolus aduloides,Minami-Ensei Knoll,2K#0357,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880009798,3
Bathymodiolus aduloides,Minami-Ensei Knoll,2K#0357,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880009773,3
Bathymodiolus aduloides,Minami-Ensei Knoll,2K#0549,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910011695,3
Bathymodiolus japonicus,"SPOT, Hatoma Knoll",HPD#1036,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1090002657,3
Bathymodiolus japonicus,"SPOT, Hatoma Knoll",2K#1275,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011168,3
Bathymodiolus japonicus,"SPOT, Hatoma Knoll",2K#1270,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010015118,3
Branchipolynoe pettiboneae,"SPOT, Hatoma Knoll",HPD#0297,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2040020119,3
Branchipolynoe pettiboneae,"SPOT, Hatoma Knoll",HPD#0297,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2040015938,3
Branchipolynoe pettiboneae,"SPOT, Hatoma Knoll",HPD#0298,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2040020120,3
Lebbeus washingtonianus,Minami-Ensei Knoll,2K#0547,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910009676,3
Lebbeus washingtonianus,Minami-Ensei Knoll,2K#0549,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910008843,3
Lebbeus washingtonianus,Minami-Ensei Knoll,2K#0547,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2910009678,3
Leucolepas longa,"North Knoll, Iheya Ridge",KAIKO#0811,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1180057677,3
Leucolepas longa,"North Knoll, Iheya Ridge",KAIKO#0811,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1180057676,3
Leucolepas longa,"North Knoll, Iheya Ridge",HPD#1861,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054799,3
Margarites ryukyuensis,Sakai,2K#0427,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011646,3
Margarites ryukyuensis,Sakai,2K#0479,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/3900009878,3
Margarites ryukyuensis,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054680,3
Neoverruca intermedia,Myojin Knoll,KMROV#0022,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1160051733,3
Neoverruca intermedia,Myojin Knoll,KMROV#0020,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1160051725,3
Neoverruca intermedia,Myojin Knoll,KMROV#0023,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1160051743,3
Oenopota ogasawarana,Daikoku volcano,HPD#0498,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006587,3
Oenopota ogasawarana,Daikoku volcano,HPD#0491,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006546,3
Oenopota ogasawarana,Daikoku volcano,HPD#0498,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2050006586,3
Provanna clathrata,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054711,3
Provanna clathrata,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054710,3
Provanna clathrata,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054667,3
Provanna clathrata,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054192,3
Provanna clathrata,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054191,3
Provanna clathrata,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054190,3
Pyropelta ryukyuensis,"SPOT, Hatoma Knoll",2K#1359,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020015400,3
Pyropelta ryukyuensis,"SPOT, Hatoma Knoll",2K#1270,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2010011014,3
Pyropelta ryukyuensis,"SPOT, Hatoma Knoll",2K#1353,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2020011320,3
Shinkaicaris leurokolos,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042379,3
Shinkaicaris leurokolos,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042427,3
Shinkaicaris leurokolos,Irabu Knoll,HPD#1624,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140042395,3
Thermochiton undocostatus,"North Knoll, Iheya Ridge",HPD#1617,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041603,3
Thermochiton undocostatus,"North Knoll, Iheya Ridge",HPD#1616,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041524,3
Thermochiton undocostatus,"North Knoll, Iheya Ridge",HPD#1616,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1140041523,3
Akebiconcha kawamurai,Minami-Ensei Knoll,2K#0428,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890017515,4
Akebiconcha kawamurai,Minami-Ensei Knoll,2K#0428,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011649,4
Akebiconcha kawamurai,Minami-Ensei Knoll,2K#0428,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011652,4
Akebiconcha kawamurai,Minami-Ensei Knoll,2K#0428,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2890011653,4
Bathyacmaea secunda,Sakai,HPD#1183,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1100021611,4
Bathyacmaea secunda,Sakai,2K#0672,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930011734,4
Bathyacmaea secunda,Sakai,HPD#1245,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110024529,4
Bathyacmaea secunda,Sakai,HPD#1245,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110024509,4
Bathyacmaea secunda,Tarama Knoll,6K#1508,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054139,4
Bathyacmaea secunda,Tarama Knoll,6K#1509,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054193,4
Bathyacmaea secunda,Tarama Knoll,6K#1508,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054140,4
Bathyacmaea secunda,Tarama Knoll,6K#1508,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1170054138,4
Bathymodiolus aduloides,Sakai,2K#0681,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930009427,4
Bathymodiolus aduloides,Sakai,2K#0683,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930017443,4
Bathymodiolus aduloides,Sakai,2K#0683,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930017427,4
Bathymodiolus aduloides,Sakai,2K#0683,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2930014483,4
Bathymodiolus japonicus,Sakai,HPD#1858,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054587,4
Bathymodiolus japonicus,Sakai,HPD#1858,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054552,4
Bathymodiolus japonicus,Sakai,2K#0366,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/2880014945,4
Bathymodiolus japonicus,Sakai,HPD#1860,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1150054708,4
Bathymodiolus japonicus,Suiyo Seamount,6K#1264,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110029998,4
Bathymodiolus japonicus,Suiyo Seamount,6K#1264,http://www.godac.jamstec.go.jp/bismal/record/JAMSTEC/Biological+Sample+Collection/1110029777,4
